,Unnamed: 0,long_name,short_name,chapter,verse,text,title,sorting_order,native_language,bible_version,sentiment,subjectivity,common_name,ner_person,ner_place,person
105379,7453,1 Samuel,1Sam,11,8,"And when he numbered them in Bezek, the children of Israel were three hundred thousand, and the men of Judah thirty thousand.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],"['Bezek', 'Israel', 'Judah']","['Bezek', 'Israel', 'Judah']"
105384,7458,1 Samuel,1Sam,11,13,"And Saul said, There shall not a man be put to death this day: for to day the LORD hath wrought salvation in Israel.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Saul'],['Israel'],['Israel']
105385,7459,1 Samuel,1Sam,11,14,"Then said Samuel to the people, Come, and let us go to Gilgal, and renew the kingdom there.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Samuel'],['Gilgal'],['Gilgal']
105386,7460,1 Samuel,1Sam,11,15,And all the people went to Gilgal; and there they made Saul king before the LORD in Gilgal; and there they sacrificed sacrifices of peace offerings before the LORD; and there Saul and all the men of Israel rejoiced greatly.,,,English,KJV_1769,Positive,"('Subjective', 0.75)",1 Samuel,"['Saul', 'Saul']","['Gilgal', 'Gilgal', 'Israel']","['Gilgal', 'Gilgal', 'Israel']"
105387,7461,1 Samuel,1Sam,12,1,"And Samuel said unto all Israel, Behold, I have hearkened unto your voice in all that ye said unto me, and have made a king over you.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Samuel', 'Behold']",['Israel'],['Israel']
105392,7466,1 Samuel,1Sam,12,6,"And Samuel said unto the people, It is the LORD that advanced Moses and Aaron, and that brought your fathers up out of the land of Egypt.",,,English,KJV_1769,Positive,"('Subjective', 0.6)",1 Samuel,"['Samuel', 'Aaron']",['Egypt'],['Egypt']
105394,7468,1 Samuel,1Sam,12,8,"When Jacob was come into Egypt, and your fathers cried unto the LORD, then the LORD sent Moses and Aaron, which brought forth your fathers out of Egypt, and made them dwell in this place.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Jacob', 'Aaron']","['Egypt', 'Egypt']","['Egypt', 'Egypt']"
105395,7469,1 Samuel,1Sam,12,9,"And when they forgat the LORD their God, he sold them into the hand of Sisera, captain of the host of Hazor, and into the hand of the Philistines, and into the hand of the king of Moab, and they fought against them.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Moab'],['Sisera'],['Sisera']
105412,7486,1 Samuel,1Sam,13,1,"Saul reigned one year; and when he had reigned two years over Israel,",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],['Israel'],['Israel']
105413,7487,1 Samuel,1Sam,13,2,"Saul chose him three thousand men of Israel; whereof two thousand were with Saul in Michmash and in mount Bethel, and a thousand were with Jonathan in Gibeah of Benjamin: and the rest of the people he sent every man to his tent.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Saul', 'Jonathan']","['Israel', 'Michmash', 'mount Bethel']","['Israel', 'Michmash', 'mount']"
105414,7488,1 Samuel,1Sam,13,3,"And Jonathan smote the garrison of the Philistines that was in Geba, and the Philistines heard of it. And Saul blew the trumpet throughout all the land, saying, Let the Hebrews hear.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Jonathan', 'Saul']",['Geba'],['Geba']
105415,7489,1 Samuel,1Sam,13,4,"And all Israel heard say that Saul had smitten a garrison of the Philistines, and that Israel also was had in abomination with the Philistines. And the people were called together after Saul to Gilgal.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Saul', 'Saul to Gilgal']","['Israel', 'Israel']","['Israel', 'Israel']"
105416,7490,1 Samuel,1Sam,13,5,"And the Philistines gathered themselves together to fight with Israel, thirty thousand chariots, and six thousand horsemen, and people as the sand which is on the sea shore in multitude: and they came up, and pitched in Michmash, eastward from Bethaven.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],"['Israel', 'Michmash', 'Bethaven']","['Israel', 'Michmash', 'Bethaven']"
105417,7491,1 Samuel,1Sam,13,6,"When the men of Israel saw that they were in a strait, (for the people were distressed,) then the people did hide themselves in caves, and in thickets, and in rocks, and in high places, and in pits.",,,English,KJV_1769,Positive,"('Subjective', 0.5399999999999999)",1 Samuel,[],['Israel'],['Israel']
105418,7492,1 Samuel,1Sam,13,7,"And some of the Hebrews went over Jordan to the land of Gad and Gilead. As for Saul, he was yet in Gilgal, and all the people followed him trembling.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Saul'],"['Jordan', 'Gad', 'Gilgal']","['Jordan', 'Gad', 'Gilgal']"
105419,7493,1 Samuel,1Sam,13,8,"And he tarried seven days, according to the set time that Samuel had appointed: but Samuel came not to Gilgal; and the people were scattered from him.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Samuel', 'Samuel']",['Gilgal'],['Gilgal']
105422,7496,1 Samuel,1Sam,13,11,"And Samuel said, What hast thou done? And Saul said, Because I saw that the people were scattered from me, and that thou camest not within the days appointed, and that the Philistines gathered themselves together at Michmash;",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Samuel', 'Saul']",['Michmash'],['Michmash']
105423,7497,1 Samuel,1Sam,13,12,"Therefore said I, The Philistines will come down now upon me to Gilgal, and I have not made supplication unto the LORD: I forced myself therefore, and offered a burnt offering.",,,English,KJV_1769,Negative,"('Objective', 0.24444444444444446)",1 Samuel,[],['Gilgal'],['Gilgal']
105424,7498,1 Samuel,1Sam,13,13,"And Samuel said to Saul, Thou hast done foolishly: thou hast not kept the commandment of the LORD thy God, which he commanded thee: for now would the LORD have established thy kingdom upon Israel for ever.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Samuel', 'Saul', 'Thou hast']",['Israel'],['Israel']
105426,7500,1 Samuel,1Sam,13,15,"And Samuel arose, and gat him up from Gilgal unto Gibeah of Benjamin. And Saul numbered the people that were present with him, about six hundred men.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Samuel', 'Saul']",['Gilgal'],['Gilgal']
105427,7501,1 Samuel,1Sam,13,16,"And Saul, and Jonathan his son, and the people that were present with them, abode in Gibeah of Benjamin: but the Philistines encamped in Michmash.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Saul', 'Jonathan', 'Benjamin']",['Michmash'],['Michmash']
105428,7502,1 Samuel,1Sam,13,17,"And the spoilers came out of the camp of the Philistines in three companies: one company turned unto the way that leadeth to Ophrah, unto the land of Shual:",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],['Shual'],['Shual']
105429,7503,1 Samuel,1Sam,13,18,And another company turned the way to Bethhoron: and another company turned to the way of the border that looketh to the valley of Zeboim toward the wilderness.,,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Bethhoron'],['Zeboim'],['Zeboim']
105430,7504,1 Samuel,1Sam,13,19,"Now there was no smith found throughout all the land of Israel: for the Philistines said, Lest the Hebrews make them swords or spears:",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Lest'],['Israel'],['Israel']
105436,7510,1 Samuel,1Sam,14,2,And Saul tarried in the uttermost part of Gibeah under a pomegranate tree which is in Migron: and the people that were with him were about six hundred men;,,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Saul', 'Migron']",['Gibeah'],['Gibeah']
105437,7511,1 Samuel,1Sam,14,3,"And Ahiah, the son of Ahitub, Ichabod's brother, the son of Phinehas, the son of Eli, the LORD'S priest in Shiloh, wearing an ephod. And the people knew not that Jonathan was gone.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Ahiah', 'Jonathan']",['Shiloh'],['Shiloh']
105438,7512,1 Samuel,1Sam,14,4,"And between the passages, by which Jonathan sought to go over unto the Philistines' garrison, there was a sharp rock on the one side, and a sharp rock on the other side: and the name of the one was Bozez, and the name of the other Seneh.",,,English,KJV_1769,Negative,"('Subjective', 0.5625)",1 Samuel,"['Jonathan', 'Bozez']","['Philistines', 'Seneh']","['Philistines', 'Seneh']"
105439,7513,1 Samuel,1Sam,14,5,"The forefront of the one was situate northward over against Michmash, and the other southward over against Gibeah.",,,English,KJV_1769,Negative,"('Objective', 0.375)",1 Samuel,[],['Gibeah'],['Gibeah']
105446,7520,1 Samuel,1Sam,14,12,"And the men of the garrison answered Jonathan and his armourbearer, and said, Come up to us, and we will shew you a thing. And Jonathan said unto his armourbearer, Come up after me: for the LORD hath delivered them into the hand of Israel.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Jonathan', 'Jonathan']",['Israel'],['Israel']
105448,7522,1 Samuel,1Sam,14,14,"And that first slaughter, which Jonathan and his armourbearer made, was about twenty men, within as it were an half acre of land, which a yoke of oxen might plow.",,,English,KJV_1769,Positive,"('Objective', 0.25)",1 Samuel,['Jonathan'],['oxen'],['oxen']
105452,7526,1 Samuel,1Sam,14,18,"And Saul said unto Ahiah, Bring hither the ark of God. For the ark of God was at that time with the children of Israel.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Saul'],['Israel'],['Israel']
105456,7530,1 Samuel,1Sam,14,22,"Likewise all the men of Israel which had hid themselves in mount Ephraim, when they heard that the Philistines fled, even they also followed hard after them in the battle.",,,English,KJV_1769,Negative,"('Subjective', 0.5416666666666666)",1 Samuel,[],['Israel'],['Israel']
105457,7531,1 Samuel,1Sam,14,23,So the LORD saved Israel that day: and the battle passed over unto Bethaven.,,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],['Israel'],['Israel']
105458,7532,1 Samuel,1Sam,14,24,"And the men of Israel were distressed that day: for Saul had adjured the people, saying, Cursed be the man that eateth any food until evening, that I may be avenged on mine enemies. So none of the people tasted any food.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Saul'],['Israel'],['Israel']
105466,7540,1 Samuel,1Sam,14,32,"And the people flew upon the spoil, and took sheep, and oxen, and calves, and slew them on the ground: and the people did eat them with the blood.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],['oxen'],['oxen']
105470,7544,1 Samuel,1Sam,14,36,"And Saul said, Let us go down after the Philistines by night, and spoil them until the morning light, and let us not leave a man of them. And they said, Do whatsoever seemeth good unto thee. Then said the priest, Let us draw near hither unto God.",,,English,KJV_1769,Positive,"('Objective', 0.49722222222222223)",1 Samuel,['Saul'],['us'],['us']
105471,7545,1 Samuel,1Sam,14,37,"And Saul asked counsel of God, Shall I go down after the Philistines? wilt thou deliver them into the hand of Israel? But he answered him not that day.",,,English,KJV_1769,Negative,"('Objective', 0.2888888888888889)",1 Samuel,['Saul'],['Israel'],['Israel']
105473,7547,1 Samuel,1Sam,14,39,"For, as the LORD liveth, which saveth Israel, though it be in Jonathan my son, he shall surely die. But there was not a man among all the people that answered him.",,,English,KJV_1769,Positive,"('Subjective', 0.8888888888888888)",1 Samuel,['Jonathan'],['Israel'],['Israel']
105474,7548,1 Samuel,1Sam,14,40,"Then said he unto all Israel, Be ye on one side, and I and Jonathan my son will be on the other side. And the people said unto Saul, Do what seemeth good unto thee.",,,English,KJV_1769,Positive,"('Objective', 0.48750000000000004)",1 Samuel,"['Jonathan', 'Saul']",['Israel'],['Israel']
105475,7549,1 Samuel,1Sam,14,41,"Therefore Saul said unto the LORD God of Israel, Give a perfect lot. And Saul and Jonathan were taken: but the people escaped.",,,English,KJV_1769,Positive,"('Subjective', 1.0)",1 Samuel,"['Saul', 'Saul', 'Jonathan']",['Israel'],['Israel']
105479,7553,1 Samuel,1Sam,14,45,"And the people said unto Saul, Shall Jonathan die, who hath wrought this great salvation in Israel? God forbid: as the LORD liveth, there shall not one hair of his head fall to the ground; for he hath wrought with God this day. So the people rescued Jonathan, that he died not.",,,English,KJV_1769,Positive,"('Subjective', 0.75)",1 Samuel,"['Saul', 'Shall Jonathan', 'Jonathan']",['Israel'],['Israel']
105481,7555,1 Samuel,1Sam,14,47,"So Saul took the kingdom over Israel, and fought against all his enemies on every side, against Moab, and against the children of Ammon, and against Edom, and against the kings of Zobah, and against the Philistines: and whithersoever he turned himself, he vexed them.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Saul', 'Moab', 'Ammon', 'Edom']","['Israel', 'Zobah']","['Israel', 'Zobah']"
105482,7556,1 Samuel,1Sam,14,48,"And he gathered an host, and smote the Amalekites, and delivered Israel out of the hands of them that spoiled them.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],"['Amalekites', 'Israel']","['Amalekites', 'Israel']"
105483,7557,1 Samuel,1Sam,14,49,"Now the sons of Saul were Jonathan, and Ishui, and Melchishua: and the names of his two daughters were these; the name of the firstborn Merab, and the name of the younger Michal:",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Saul', 'Jonathan', 'Melchishua', 'Michal']",['Ishui'],['Ishui']
105487,7561,1 Samuel,1Sam,15,1,"Samuel also said unto Saul, The LORD sent me to anoint thee to be king over his people, over Israel: now therefore hearken thou unto the voice of the words of the LORD.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Samuel', 'Saul']",['Israel'],['Israel']
105488,7562,1 Samuel,1Sam,15,2,"Thus saith the LORD of hosts, I remember that which Amalek did to Israel, how he laid wait for him in the way, when he came up from Egypt.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],"['Israel', 'Egypt']","['Israel', 'Egypt']"
105490,7564,1 Samuel,1Sam,15,4,"And Saul gathered the people together, and numbered them in Telaim, two hundred thousand footmen, and ten thousand men of Judah.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Saul'],['Judah'],['Judah']
105491,7565,1 Samuel,1Sam,15,5,"And Saul came to a city of Amalek, and laid wait in the valley.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Saul'],['Amalek'],['Amalek']
105492,7566,1 Samuel,1Sam,15,6,"And Saul said unto the Kenites, Go, depart, get you down from among the Amalekites, lest I destroy you with them: for ye shewed kindness to all the children of Israel, when they came up out of Egypt. So the Kenites departed from among the Amalekites.",,,English,KJV_1769,Negative,"('Objective', 0.14444444444444446)",1 Samuel,['Saul'],"['Amalekites', 'Israel', 'Egypt', 'Amalekites']","['Amalekites', 'Israel', 'Egypt', 'Amalekites']"
105493,7567,1 Samuel,1Sam,15,7,"And Saul smote the Amalekites from Havilah until thou comest to Shur, that is over against Egypt.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Saul', 'Shur']","['Amalekites', 'Egypt']","['Amalekites', 'Egypt']"
105494,7568,1 Samuel,1Sam,15,8,"And he took Agag the king of the Amalekites alive, and utterly destroyed all the people with the edge of the sword.",,,English,KJV_1769,Positive,"('Subjective', 0.7)",1 Samuel,[],['Amalekites'],['Amalekites']
105498,7572,1 Samuel,1Sam,15,12,"And when Samuel rose early to meet Saul in the morning, it was told Samuel, saying, Saul came to Carmel, and, behold, he set him up a place, and is gone about, and passed on, and gone down to Gilgal.",,,English,KJV_1769,Positive,"('Subjective', 0.512962962962963)",1 Samuel,"['Samuel', 'Saul', 'Samuel', 'Saul']",['Gilgal'],['Gilgal']
105501,7575,1 Samuel,1Sam,15,15,"And Saul said, They have brought them from the Amalekites: for the people spared the best of the sheep and of the oxen, to sacrifice unto the LORD thy God; and the rest we have utterly destroyed.",,,English,KJV_1769,Positive,"('Subjective', 0.65)",1 Samuel,['Saul'],['Amalekites'],['Amalekites']
105503,7577,1 Samuel,1Sam,15,17,"And Samuel said, When thou wast little in thine own sight, wast thou not made the head of the tribes of Israel, and the LORD anointed thee king over Israel?",,,English,KJV_1769,Positive,"('Subjective', 0.75)",1 Samuel,['Samuel'],"['Israel', 'Israel']","['Israel', 'Israel']"
105504,7578,1 Samuel,1Sam,15,18,"And the LORD sent thee on a journey, and said, Go and utterly destroy the sinners the Amalekites, and fight against them until they be consumed.",,,English,KJV_1769,Negative,"('Objective', 0.0)",1 Samuel,[],['Amalekites'],['Amalekites']
105506,7580,1 Samuel,1Sam,15,20,"And Saul said unto Samuel, Yea, I have obeyed the voice of the LORD, and have gone the way which the LORD sent me, and have brought Agag the king of Amalek, and have utterly destroyed the Amalekites.",,,English,KJV_1769,Neutral,"('Subjective', 1.0)",1 Samuel,"['Saul', 'Samuel, Yea', 'Amalek']",['Amalekites'],['Amalekites']
105507,7581,1 Samuel,1Sam,15,21,"But the people took of the spoil, sheep and oxen, the chief of the things which should have been utterly destroyed, to sacrifice unto the LORD thy God in Gilgal.",,,English,KJV_1769,Neutral,"('Subjective', 1.0)",1 Samuel,[],"['oxen', 'Gilgal']","['oxen', 'Gilgal']"
105512,7586,1 Samuel,1Sam,15,26,"And Samuel said unto Saul, I will not return with thee: for thou hast rejected the word of the LORD, and the LORD hath rejected thee from being king over Israel.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Samuel', 'Saul']",['Israel'],['Israel']
105514,7588,1 Samuel,1Sam,15,28,"And Samuel said unto him, The LORD hath rent the kingdom of Israel from thee this day, and hath given it to a neighbour of thine, that is better than thou.",,,English,KJV_1769,Positive,"('Uncertain', 0.5)",1 Samuel,['Samuel'],"['Israel', 'thou']","['Israel', 'thou']"
105515,7589,1 Samuel,1Sam,15,29,"And also the Strength of Israel will not lie nor repent: for he is not a man, that he should repent.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Strength'],['Israel'],['Israel']
105516,7590,1 Samuel,1Sam,15,30,"Then he said, I have sinned: yet honour me now, I pray thee, before the elders of my people, and before Israel, and turn again with me, that I may worship the LORD thy God.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],['Israel'],['Israel']
105519,7593,1 Samuel,1Sam,15,33,"And Samuel said, As thy sword hath made women childless, so shall thy mother be childless among women. And Samuel hewed Agag in pieces before the LORD in Gilgal.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Samuel', 'Samuel']",['Gilgal'],['Gilgal']
105521,7595,1 Samuel,1Sam,15,35,And Samuel came no more to see Saul until the day of his death: nevertheless Samuel mourned for Saul: and the LORD repented that he had made Saul king over Israel.,,,English,KJV_1769,Negative,"('Uncertain', 0.5)",1 Samuel,"['Samuel', 'Saul', 'Samuel', 'Saul', 'Saul']",['Israel'],['Israel']
105522,7596,1 Samuel,1Sam,16,1,"And the LORD said unto Samuel, How long wilt thou mourn for Saul, seeing I have rejected him from reigning over Israel? fill thine horn with oil, and go, I will send thee to Jesse the Bethlehemite: for I have provided me a king among his sons.",,,English,KJV_1769,Negative,"('Objective', 0.4)",1 Samuel,"['Samuel', 'Saul']",['Israel'],['Israel']
105525,7599,1 Samuel,1Sam,16,4,"And Samuel did that which the LORD spake, and came to Bethlehem. And the elders of the town trembled at his coming, and said, Comest thou peaceably?",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Samuel'],['Bethlehem'],['Bethlehem']
105527,7601,1 Samuel,1Sam,16,6,"And it came to pass, when they were come, that he looked on Eliab, and said, Surely the LORD'S anointed is before him.",,,English,KJV_1769,Positive,"('Subjective', 0.8888888888888888)",1 Samuel,[],['Eliab'],['Eliab']
105545,7619,1 Samuel,1Sam,17,1,"Now the Philistines gathered together their armies to battle, and were gathered together at Shochoh, which belongeth to Judah, and pitched between Shochoh and Azekah, in Ephesdammim.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],['Judah'],['Judah']
105546,7620,1 Samuel,1Sam,17,2,"And Saul and the men of Israel were gathered together, and pitched by the valley of Elah, and set the battle in array against the Philistines.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Saul'],['Israel'],['Israel']
105547,7621,1 Samuel,1Sam,17,3,"And the Philistines stood on a mountain on the one side, and Israel stood on a mountain on the other side: and there was a valley between them.",,,English,KJV_1769,Negative,"('Objective', 0.375)",1 Samuel,[],['Israel'],['Israel']
105552,7626,1 Samuel,1Sam,17,8,"And he stood and cried unto the armies of Israel, and said unto them, Why are ye come out to set your battle in array? am not I a Philistine, and ye servants to Saul? choose you a man for you, and let him come down to me.",,,English,KJV_1769,Negative,"('Objective', 0.2888888888888889)",1 Samuel,['Saul'],['Israel'],['Israel']
105554,7628,1 Samuel,1Sam,17,10,"And the Philistine said, I defy the armies of Israel this day; give me a man, that we may fight together.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],['Israel'],['Israel']
105555,7629,1 Samuel,1Sam,17,11,"When Saul and all Israel heard those words of the Philistine, they were dismayed, and greatly afraid.",,,English,KJV_1769,Negative,"('Subjective', 0.9)",1 Samuel,['Saul'],['Israel'],['Israel']
105563,7637,1 Samuel,1Sam,17,19,"Now Saul, and they, and all the men of Israel, were in the valley of Elah, fighting with the Philistines.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['Saul'],['Israel'],['Israel']
105565,7639,1 Samuel,1Sam,17,21,"For Israel and the Philistines had put the battle in array, army against army.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],['Israel'],['Israel']
105567,7641,1 Samuel,1Sam,17,23,"And as he talked with them, behold, there came up the champion, the Philistine of Gath, Goliath by name, out of the armies of the Philistines, and spake according to the same words: and David heard them.",,,English,KJV_1769,Neutral,"('Objective', 0.125)",1 Samuel,"['Goliath', 'David']",['Gath'],['Gath']
105568,7642,1 Samuel,1Sam,17,24,"And all the men of Israel, when they saw the man, fled from him, and were sore afraid.",,,English,KJV_1769,Negative,"('Subjective', 0.9)",1 Samuel,[],['Israel'],['Israel']
105569,7643,1 Samuel,1Sam,17,25,"And the men of Israel said, Have ye seen this man that is come up? surely to defy Israel is he come up: and it shall be, that the man who killeth him, the king will enrich him with great riches, and will give him his daughter, and make his father's house free in Israel.",,,English,KJV_1769,Positive,"('Subjective', 0.812962962962963)",1 Samuel,[],"['Israel', 'Israel', 'Israel']","['Israel', 'Israel', 'Israel']"
105570,7644,1 Samuel,1Sam,17,26,"And David spake to the men that stood by him, saying, What shall be done to the man that killeth this Philistine, and taketh away the reproach from Israel? for who is this uncircumcised Philistine, that he should defy the armies of the living God?",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['David'],['Israel'],['Israel']
105577,7651,1 Samuel,1Sam,17,33,"And Saul said to David, Thou art not able to go against this Philistine to fight with him: for thou art but a youth, and he a man of war from his youth.",,,English,KJV_1769,Negative,"('Subjective', 0.625)",1 Samuel,"['Saul', 'David']",['Thou'],['Thou']
105589,7663,1 Samuel,1Sam,17,45,"Then said David to the Philistine, Thou comest to me with a sword, and with a spear, and with a shield: but I come to thee in the name of the LORD of hosts, the God of the armies of Israel, whom thou hast defied.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['David'],"['Philistine', 'Thou', 'Israel']","['Philistine', 'Thou', 'Israel']"
105590,7664,1 Samuel,1Sam,17,46,"This day will the LORD deliver thee into mine hand; and I will smite thee, and take thine head from thee; and I will give the carcases of the host of the Philistines this day unto the fowls of the air, and to the wild beasts of the earth; that all the earth may know that there is a God in Israel.",,,English,KJV_1769,Positive,"('Objective', 0.4)",1 Samuel,[],"['Philistines', 'Israel']","['Philistines', 'Israel']"
105596,7670,1 Samuel,1Sam,17,52,"And the men of Israel and of Judah arose, and shouted, and pursued the Philistines, until thou come to the valley, and to the gates of Ekron. And the wounded of the Philistines fell down by the way to Shaaraim, even unto Gath, and unto Ekron.",,,English,KJV_1769,Negative,"('Objective', 0.2888888888888889)",1 Samuel,['Gath'],"['Israel', 'Judah']","['Israel', 'Judah']"
105597,7671,1 Samuel,1Sam,17,53,"And the children of Israel returned from chasing after the Philistines, and they spoiled their tents.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],['Israel'],['Israel']
105598,7672,1 Samuel,1Sam,17,54,"And David took the head of the Philistine, and brought it to Jerusalem; but he put his armour in his tent.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,['David'],['Jerusalem'],['Jerusalem']
105600,7674,1 Samuel,1Sam,17,56,"And the king said, Enquire thou whose son the stripling is.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,[],['Enquire'],['Enquire']
105608,7682,1 Samuel,1Sam,18,6,"And it came to pass as they came, when David was returned from the slaughter of the Philistine, that the women came out of all cities of Israel, singing and dancing, to meet king Saul, with tabrets, with joy, and with instruments of musick.",,,English,KJV_1769,Positive,"('Objective', 0.2)",1 Samuel,"['David', 'Saul']",['Israel'],['Israel']
105618,7692,1 Samuel,1Sam,18,16,"But all Israel and Judah loved David, because he went out and came in before them.",,,English,KJV_1769,Positive,"('Subjective', 0.8)",1 Samuel,['David'],"['Israel', 'Judah']","['Israel', 'Judah']"
105620,7694,1 Samuel,1Sam,18,18,"And David said unto Saul, Who am I? and what is my life, or my father's family in Israel, that I should be son in law to the king?",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['David', 'Saul']",['Israel'],['Israel']
105637,7711,1 Samuel,1Sam,19,5,"For he did put his life in his hand, and slew the Philistine, and the LORD wrought a great salvation for all Israel: thou sawest it, and didst rejoice: wherefore then wilt thou sin against innocent blood, to slay David without a cause?",,,English,KJV_1769,Positive,"('Subjective', 0.725)",1 Samuel,['David'],['Israel'],['Israel']
105650,7724,1 Samuel,1Sam,19,18,"So David fled, and escaped, and came to Samuel to Ramah, and told him all that Saul had done to him. And he and Samuel went and dwelt in Naioth.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['David', 'Samuel to Ramah', 'Saul', 'Samuel']",['Naioth'],['Naioth']
105654,7728,1 Samuel,1Sam,19,22,"Then went he also to Ramah, and came to a great well that is in Sechu: and he asked and said, Where are Samuel and David? And one said, Behold, they be at Naioth in Ramah.",,,English,KJV_1769,Positive,"('Subjective', 0.75)",1 Samuel,"['Samuel', 'David', 'Behold']",['Sechu'],['Sechu']
105657,7731,1 Samuel,1Sam,20,1,"And David fled from Naioth in Ramah, and came and said before Jonathan, What have I done? what is mine iniquity? and what is my sin before thy father, that he seeketh my life?",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['David', 'Jonathan']",['Naioth'],['Naioth']
105660,7734,1 Samuel,1Sam,20,4,"Then said Jonathan unto David, Whatsoever thy soul desireth, I will even do it for thee.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",1 Samuel,"['Jonathan unto', 'David']",['Whatsoever'],['Whatsoever']
105668,7742,1 Samuel,1Sam,20,12,"And Jonathan said unto David, O LORD God of Israel, when I have sounded my father about to morrow any time, or the third day, and, behold, if there be good toward David, and I then send not unto thee, and shew it thee;",,,English,KJV_1769,Positive,"('Objective', 0.30000000000000004)",1 Samuel,"['Jonathan', 'David', 'David']",['Israel'],['Israel']
105669,7743,1 Samuel,1Sam,20,13,"The LORD do so and much more to Jonathan: but if it please my father to do thee evil, then I will shew it thee, and send thee away, that thou mayest go in peace: and the LORD be with thee, as he hath been with my father.",,,English,KJV_1769,Negative,"('Subjective', 0.75)",1 Samuel,['Jonathan'],['thou'],['thou']
105686,7760,1 Samuel,1Sam,20,30,"Then Saul's anger was kindled against Jonathan, and he said unto him, Thou son of the perverse rebellious woman, do not I know that thou hast chosen the son of Jesse to thine own confusion, and unto the confusion of thy mother's nakedness?",,,English,KJV_1769,Negative,"('Subjective', 0.6)",1 Samuel,"['Saul', 'Jonathan', 'Jesse']",['Thou'],['Thou']
